0 0 0 0 0 0.37;7.92;13.93 0.06;17.35;9.57 0.32;14.91;0.82 0 0 0 0.54;13.64;19.75 0 0.89;9.30;14.54 0 0.87;18.50;5.94 0 0 0 0 0.01;16.17;0.29 0 0.59;14.99;10.00 0.64;16.90;19.39 0 0 0.03;19.39;11.75 0.85;0.23;18.50 0 0 
0.87;18.50;5.94 0 0 0 0 0 0 0 0 0 0 0.01;13.91;17.36 0 0 0 0 0 0.18;18.29;8.38 0 0 0 0 0 0.98;14.38;7.87 0.75;1.80;16.01 0 0 0.83;19.70;13.30 0 0 
0 0 0 0 0 0 0 0 0.45;14.22;2.26 0 0 0 0 0 0 0 0 0.92;14.80;8.80 0 0 0 0 0 0 0.15;0.95;16.64 0 0.30;9.04;10.36 0 0 0.45;8.75;1.43 
0 0.16;18.67;13.51 0 0 0 0.30;12.27;1.66 0 0 0 0 0 0 0 0 0 0.18;18.29;8.38 0.92;14.80;8.80 0 0 0.25;0.76;1.02 0 0.58;15.03;5.31 0.39;3.22;14.93 0.33;8.58;8.50 0 0.91;4.27;15.48 0 0 0 0 
0 0.21;7.05;16.83 0 0 0.84;9.51;7.19 0 0 0 0 0 0 0.34;3.57;15.53 0 0 0 0 0 0 0 0 0 0.53;2.35;14.05 0.15;6.07;15.25 0 0 0 0 0.52;14.88;19.38 0 0 
0 0.35;9.88;1.74 0.74;1.74;18.14 0 0 0 0 0 0 0.20;19.82;9.48 0 0 0.39;5.08;5.23 0 0 0 0 0.25;0.76;1.02 0 0 0 0 0 0 0.39;12.77;19.50 0.57;3.74;19.39 0 0 0 0.67;10.66;17.86 
0.01;16.17;0.29 0 0 0 0 0 0.20;8.43;19.39 0 0 0 0 0.76;3.26;18.09 0 0 0 0 0 0 0 0 0 0.56;3.68;11.59 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0.53;9.59;0.50 0 0 0 0 0.29;14.38;8.48 0 0 0.58;15.03;5.31 0.53;2.35;14.05 0 0.56;3.68;11.59 0 0 0 0 0 0 0 0 0 
0.59;14.99;10.00 0 0.48;18.96;9.83 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.39;3.22;14.93 0.15;6.07;15.25 0 0 0 0 0 0 0 0 0 0 0.90;6.16;1.39 
0.64;16.90;19.39 0 0 0 0 0 0 0 0 0.76;15.26;13.62 0 0.52;17.08;7.48 0.68;0.70;19.39 0 0 0.98;14.38;7.87 0 0.33;8.58;8.50 0 0 0 0 0 0 0 0 0 0 0.44;12.27;8.43 0 
0 0 0 0 0 0 0.03;8.90;11.97 0 0 0.74;2.21;12.01 0 0 0.17;19.15;14.87 0 0.31;4.44;19.39 0.75;1.80;16.01 0.15;0.95;16.64 0 0 0.39;12.77;19.50 0 0 0 0 0 0 0 0 0.16;1.69;16.68 0.37;15.33;11.04 
0 0 0 0 0 0 0.02;14.57;10.83 0.21;10.50;10.69 0 0 0 0 0 0.44;16.20;12.58 0 0 0 0.91;4.27;15.48 0 0.57;3.74;19.39 0 0 0 0 0 0 0.67;1.95;0.01 0 0 0 
0.03;19.39;11.75 0 0 0 0 0 0 0.41;9.82;10.50 0 0.67;14.46;17.97 0.77;11.80;3.27 0 0 0.88;16.12;3.97 0 0 0.30;9.04;10.36 0 0 0 0 0 0 0 0 0.67;1.95;0.01 0 0 0 0 
0.85;0.23;18.50 0 0 0 0 0 0 0 0 0 0 0 0 0 0.35;4.04;14.86 0.83;19.70;13.30 0 0 0.52;14.88;19.38 0 0 0 0 0 0 0 0 0 0 0 
0 0.46;0.82;13.48 0 0.31;11.53;16.50 0 0 0 0 0 0 0.17;4.23;5.59 0 0 0 0 0 0 0 0 0 0 0 0 0.44;12.27;8.43 0.16;1.69;16.68 0 0 0 0 0.27;7.47;15.54 
0 0 0 0 0 0 0 0 0.60;16.14;14.10 0 0.25;15.37;16.15 0 0 0 0 0 0.45;8.75;1.43 0 0 0.67;10.66;17.86 0 0 0.90;6.16;1.39 0 0.37;15.33;11.04 0 0 0 0.27;7.47;15.54 0 
